,east,north,depth,strike,dip,slip_m,rake,fault_name,point_index,htm_ind,zz_stress,xy_stress,xz_stress,yz_stress,xx_stress,yy_stress,tau_dd,tau_ss,sig_nn
46,187652.10068069762,3201695.69976117,-900.0,19.76191691286552,55.0,0.1,-90.0,,46,30,72.7827242289998,-20.70866298426298,6.618129556049499,-10.360120741274919,108.02881056872928,113.60832216091737,26.380310032877844,-10.230442369822805,96.56005256813704
47,182389.01802115372,3189482.7568547595,-905.0,19.76191691286552,55.0,0.1,-90.0,,47,30,95.82470581369356,-28.311915644855464,2.546660780325177,2.796005320445935,116.19535674461122,130.57275840996306,19.305244528597804,-23.63987684316946,121.32276288931753
48,177410.10836578216,3184445.612939445,-952.0,19.76191691286552,55.0,0.1,-90.0,,48,30,93.66799735442648,-38.43727344583329,0.9590560233554073,9.429767149899776,116.00872770669791,128.6551590056994,21.887334536916747,-32.85950107015894,128.19073801987108
49,173003.19080960026,3180027.682571868,-1285.0,19.76191691286552,55.0,0.1,-90.0,,49,30,104.70610680549953,-28.47283189994514,-4.57452700012864,-7.554539651966417,126.23586365616782,113.49055992950225,17.345926795086264,-9.703697362217412,131.97910119040318
50,168449.16725163758,3177094.1120299967,-1284.0,19.76191691286552,55.0,0.1,-90.0,,50,30,97.1205482723331,-13.811391268314534,13.318907984184376,-16.02724447616017,132.14610678833813,116.01141617956905,25.860193031054784,1.5471517025913437,108.41245971115966
51,169442.34692089199,3162911.1424302068,-1519.0,19.76191691286552,55.0,0.1,-90.0,,51,30,72.85656024980467,-1.1243067276141627,13.850757177738721,-15.561521896995481,86.51447402991539,80.31302524337362,12.67799754879288,6.619950314257246,64.83240545298855
57,199203.1964081245,3225850.990490978,-1599.0,19.76191691286552,55.0,0.1,-90.0,,57,30,111.57844658936757,-1.4344830361395635,15.78538185171981,-6.461759452886143,108.63669899112551,89.91579785777216,3.8694014797877188,4.400001041567166,92.76814786494542
58,194842.44735990986,3215406.4320531487,-1723.0,19.76191691286552,55.0,0.1,-90.0,,58,30,95.35876790846268,-8.488872479442108,19.04851498539893,-8.528726705928165,112.75808337657753,96.55984734335524,16.96076053618257,-0.2320247837255518,89.86100571584785
59,188461.79477131664,3201404.7997467746,-2400.0,19.76191691286552,55.0,0.1,-90.0,,59,30,102.70557628975136,-12.328714813960854,2.734138185495362,-6.699844345643171,107.51719452761984,109.31981178218942,7.698786245275521,-5.1735848367699235,106.79061127883976
60,183198.71211177285,3189191.8568403637,-2405.0,19.76191691286552,55.0,0.1,-90.0,,60,30,104.80644202275735,-12.91168175428098,-1.6994747967953687,2.4752752242818494,101.38446095268121,109.04198628891253,1.8309555528164978,-11.160911171172001,110.90072431289792
61,178219.80245640126,3184154.71292505,-2452.0,19.76191691286552,55.0,0.1,-90.0,,61,30,101.57770326324744,-19.316289976488164,-0.8482751671287931,3.9711204479000366,99.46665438237135,104.06074147875853,4.298387000627301,-15.381764127775908,110.77410372859141
62,173812.8849002193,3179736.782557473,-2785.0,19.76191691286552,55.0,0.1,-90.0,,62,30,110.47974833990612,-17.280264334327363,-6.14427180580055,-9.688393807187715,105.070727221335,86.99179152767067,0.7971662059105569,0.21495373183045352,115.19807626713634
63,169258.86134225663,3176803.212015602,-2784.0,19.76191691286552,55.0,0.1,-90.0,,63,30,104.3995740728698,-10.157666890948274,10.81022058963961,-17.693335051866562,107.58604254215092,91.61046104679997,9.201940678027604,5.200192710514379,94.46829453203993
64,170252.04101151106,3162620.242415812,-3019.0,19.76191691286552,55.0,0.1,-90.0,,64,30,78.7119500092897,-1.72503293241589,-1.7528710572348039,-15.865235372210783,82.21493386896222,72.6946354116455,2.9207703843122133,10.29545282100067,77.57824828155212
70,200012.8904987436,3225560.0904765823,-3099.0,19.76191691286552,55.0,0.1,-90.0,,70,30,110.20987567891011,-2.1741728356995975,12.14923389482114,-3.3641988447106153,102.57013280096854,89.0847734954885,0.6358574366480099,1.6010751482773706,93.16445287241433
71,195652.1414505289,3215115.5320387543,-3223.0,19.76191691286552,55.0,0.1,-90.0,,71,30,104.62942513150043,-7.981464749260371,12.379982446581367,-6.911181468414982,106.26227687828734,99.03122162310616,7.549375697320052,-1.8286373537790503,95.43464680022768
72,189271.4888619357,3201113.8997323792,-3900.0,19.76191691286552,55.0,0.1,-90.0,,72,30,109.69937830543039,-9.509986202898478,2.018157536324161,-6.046995252497674,99.47877493648814,100.6689026872937,-0.5457277031384606,-3.44644511075539,103.2875767817721
73,184008.40620239195,3188900.956825969,-3905.0,19.76191691286552,55.0,0.1,-90.0,,73,30,107.75081215149848,-8.349996224423162,-1.9894247845051953,2.9412411127837075,94.22157682768591,99.89848039908648,-4.535487189219992,-7.957598663427109,105.36757891483667
74,179029.4965470203,3183863.8129106546,-3952.0,19.76191691286552,55.0,0.1,-90.0,,74,30,109.39131525505864,-12.341759882805293,-3.382687956407607,0.43991374350408274,92.43974367272963,90.30280507397805,-5.5287894019564305,-6.822723932446423,106.25427087222536
75,174622.5789908384,3179445.8825430777,-4285.0,19.76191691286552,55.0,0.1,-90.0,,75,30,111.48444332103644,-11.975551738634861,-3.821144559055486,-9.221162796320398,91.56881793979568,79.7371365995817,-6.575581159310602,1.2356829707212311,102.77663893113004
76,170068.55543287573,3176512.3120012064,-4284.0,19.76191691286552,55.0,0.1,-90.0,,76,30,106.7607932248674,-8.654447873136782,5.550795337129252,-15.584030663554076,95.03471175610845,82.01580466520444,-0.03214293636801102,5.2607334815564295,91.72927387409311
