east,north,depth,EVENT_ID,strike,dip,rake,slip_m,point_index,zz_stress,xy_stress,xz_stress,yz_stress,xx_stress,yy_stress,tau_dd,tau_ss,sig_nn
550317.7795325221,2957849.1130615794,-24000.0,663769,179.0,34.0,-82.0,0.003513641844631528,663769,15.296981851559462,0.5816562978791291,-1.3174297340069474,-11.784496242552047,14.817867754583684,16.424624571756986,-0.782963077729594,-9.408502368054815,13.741659657151658
-72618.33240770981,3288856.2495445237,-18000.0,642643,290.0,21.0,91.0,0.6248236946559426,642643,72.5396543719962,1.7846062759050396,-6.446719396045965,-17.75554810970039,45.45901441205082,50.52452190235239,6.85779786016885,0.10734683831964044,82.42317952191496
-72618.33240770981,3288856.2495445237,-16000.0,642643,266.0,26.0,75.0,0.313153659029382,642643,72.41746556190336,1.817007545337567,-5.7133447365034185,-17.375319964347668,46.352084506136194,51.660071213312065,2.1375525041349412,-7.1626773197443585,81.71950357863763
673230.7802097126,3031294.450409069,-17000.0,635740,301.0,89.0,-141.0,0.22169581277431905,635740,83.78429303983475,-0.36692956613888644,-9.247770940754712,-17.583971236005564,47.61679700555016,49.70350455978591,-20.43328962137127,1.1130361380194884,49.52888801531725
823928.5434717345,3264707.7000770913,-15000.0,458408,21.0,45.0,-90.0,0.003513641844631528,458408,128.78637411539617,0.3918297109757876,-0.8763465423318522,-3.6390007565251055,82.50302871073963,83.53136530581673,-23.206731934476466,2.5869465309789184,105.09368092015953
374428.3328341747,3030272.8385048606,-18000.0,424138,309.0,30.0,109.0,0.007010637160891007,424138,30.840490848181204,-0.5767696959719213,-3.134256619833984,-10.469538436010644,25.889467282584576,23.829998172312933,2.1276649688211524,3.1528758714682277,37.90522360940144
802742.0935529262,3294080.4724505143,-15000.0,411851,313.0,82.0,-166.0,0.013988060131046304,411851,134.47932677736853,-0.7904890421104385,1.4613303996318032,-3.2716710286344552,85.43667145164765,85.09788735579855,-8.234686884026598,0.34654469911654373,85.82042193099944
787137.6722762499,3182724.6657302864,-15000.0,406840,330.0,43.0,-119.0,0.0049631510238995775,406840,130.53619319353498,0.09488683959617207,-3.053383534271233,1.433221347223671,82.57932376225708,83.8068398402829,-23.59150224700919,-1.6294533885141602,110.33436800978227
806408.6773804548,3276868.8446588707,-10000.0,284914,251.0,48.0,-116.0,0.15694861606919447,284914,126.52684146675183,-0.22303501164463865,0.275333405435072,-5.340552240367119,91.29745621281879,87.90774099006485,-19.494023837570893,-0.08317842040531964,110.58422904449024
820078.3703120224,3263487.974208327,-15000.0,284914,10.0,42.0,-94.0,0.15694861606919447,284914,127.70304505809753,0.3344593390421799,-1.2628806668481298,-3.5800267880246044,83.35370457106285,84.07138257558259,-22.034296832676823,2.9112069739241027,108.42335299387844
