east,north,depth,strike,dip,slip_m,rake,fault_name,point_index
398033.1421923721,2979505.9501428567,1643.0,295.0,11.0,0.4830865927553775,113.49090464281275,galetzka_mainshock,1
389026.03382982884,2983836.2638291707,1643.0,295.0,11.0,0.43766305590031246,110.803193178475,galetzka_mainshock,2
380024.9477159397,2988173.2807642687,1643.0,295.0,11.0,0.37565768899358365,105.45724556752357,galetzka_mainshock,3
371010.0461332628,2992517.2252267995,1643.0,295.0,11.0,0.27767195668450206,80.92989451483402,galetzka_mainshock,4
362000.9339248404,2996845.7850960293,1643.0,295.0,11.0,0.27497783824337557,106.95191023300815,galetzka_mainshock,5
352997.95405803167,3001192.212926695,1643.0,295.0,11.0,0.1991684711594684,64.56252902935985,galetzka_mainshock,6
343990.804753851,3005523.4176224666,1643.0,295.0,11.0,0.15592345673852281,92.62374282952487,galetzka_mainshock,7
334979.7404173149,3009861.5966064218,1643.0,295.0,11.0,0.14409069084212206,92.4404790152728,galetzka_mainshock,8
325964.770377098,3014206.7914393423,1643.0,295.0,11.0,0.11156449704543107,100.82295188137671,galetzka_mainshock,9
316955.47614813654,3018536.7378305374,1643.0,295.0,11.0,0.05742671020526947,69.4629889913209,galetzka_mainshock,10
307952.15242877736,3022873.613167861,1643.0,295.0,11.0,0.052498852796989764,52.13908713892133,galetzka_mainshock,11
298935.01153458835,3027217.759549963,1643.0,295.0,11.0,0.05773244025675687,135.0,galetzka_mainshock,12
289923.6647022541,3031557.8225367186,1643.0,295.0,11.0,0.12833846657179598,135.0,galetzka_mainshock,13
280918.0869834223,3035893.8202953744,1643.0,295.0,11.0,0.043732226675530714,57.067581522144316,galetzka_mainshock,14
271908.57454707444,3040237.036524361,1643.0,295.0,11.0,0.11755930186931189,76.81440139321833,galetzka_mainshock,15
262894.9223256079,3044576.4308089293,1643.0,295.0,11.0,0.12393669910079097,69.68819891737664,galetzka_mainshock,16
253877.11424267502,3048912.04371184,1643.0,295.0,11.0,0.11567538902030976,100.2758284353997,galetzka_mainshock,17
244865.2416782603,3053254.792749551,1643.0,295.0,11.0,0.1162866758317564,99.41566547282345,galetzka_mainshock,18
235859.06504208734,3057593.613502938,1643.0,295.0,11.0,0.08116398729707652,87.39324507486342,galetzka_mainshock,19
226839.06787861587,3061940.0512480303,1643.0,295.0,11.0,0.04010303725405347,106.70293907608298,galetzka_mainshock,20
402292.04525849206,2988345.1813639267,3551.0,295.0,11.0,0.6372010680507371,98.84115312611102,galetzka_mainshock,21
393290.18540866236,2992683.714555785,3551.0,295.0,11.0,0.7060822668081956,91.8099388317637,galetzka_mainshock,22
384274.4535002328,2997018.064640831,3551.0,295.0,11.0,0.5768802299689251,85.81221610470782,galetzka_mainshock,23
375274.6896326816,3001359.0737949857,3551.0,295.0,11.0,0.35414869679839284,84.74466767858442,galetzka_mainshock,24
366261.03972093464,3005695.9813861763,3551.0,295.0,11.0,0.24150755371209406,47.60614237460643,galetzka_mainshock,25
357253.3084591464,3010028.6220096485,3551.0,295.0,11.0,0.2922907787204379,106.11193257948959,galetzka_mainshock,26
348241.7046006061,3014368.2140637212,3551.0,295.0,11.0,0.3868501886531788,100.66319940622071,galetzka_mainshock,27
339235.9925144592,3018703.5914265267,3551.0,295.0,11.0,0.35398535633554107,103.74378039831771,galetzka_mainshock,28
330226.4037915643,3023045.987845584,3551.0,295.0,11.0,0.318267547004089,103.34784834338981,galetzka_mainshock,29
321222.67996753333,3027384.2217664015,3551.0,295.0,11.0,0.24707050045685341,97.9766839461776,galetzka_mainshock,30
312205.01677083876,3031718.613244557,3551.0,295.0,11.0,0.1581919625297063,110.05480403335429,galetzka_mainshock,31
303203.24502380076,3036059.830558814,3551.0,295.0,11.0,0.06727979601633761,45.0,galetzka_mainshock,32
294187.5192130868,3040397.287274352,3551.0,295.0,11.0,0.364465023013183,46.64095816647163,galetzka_mainshock,33
285177.78806333727,3044741.7810794734,3551.0,295.0,11.0,0.1259690911652537,68.61963570221889,galetzka_mainshock,34
276163.97161167016,3049082.4304081025,3551.0,295.0,11.0,0.07688482216926824,74.62723367518905,galetzka_mainshock,35
267155.92837343947,3053419.0874842457,3551.0,295.0,11.0,0.2245539064478728,83.45408737422058,galetzka_mainshock,36
258143.98169797647,3057763.048878387,3551.0,295.0,11.0,0.20551295028781033,63.70026981473861,galetzka_mainshock,37
249127.91262562512,3062103.273397865,3551.0,295.0,11.0,0.14119671956529303,82.91967817928747,galetzka_mainshock,38
240117.80762929434,3066450.6743158735,3551.0,295.0,11.0,0.1509675155819953,95.3899747731353,galetzka_mainshock,39
231103.31331245822,3070783.321161534,3551.0,295.0,11.0,0.10023725868657822,76.61631973122446,galetzka_mainshock,40
406545.16849530383,2997185.7789003686,5460.0,295.0,11.0,0.7511077049265305,107.9915747873239,galetzka_mainshock,41
397538.5545217611,3001521.5250490615,5460.0,295.0,11.0,0.6328649510567005,97.75288475352072,galetzka_mainshock,42
388538.02889111935,3005864.0026197108,5460.0,295.0,11.0,0.658961111769124,82.06388596135304,galetzka_mainshock,43
379523.6750889582,3010202.345618374,5460.0,295.0,11.0,0.4028534290532972,58.877943306206554,galetzka_mainshock,44
370515.2899159975,3014536.409544542,5460.0,295.0,11.0,0.27550549214126385,105.02237788088763,galetzka_mainshock,45
361512.9725701292,3018877.291217642,5460.0,295.0,11.0,0.6297395446531845,74.12109090377051,galetzka_mainshock,46
352506.69581199763,3023214.049592101,5460.0,295.0,11.0,0.8901337996054302,69.24355906476416,galetzka_mainshock,47
